examen	n	tema	confianza	nota
Java.pdf	1	Java	alta	
Java.pdf	2	Herramientas/general	alta	
Java.pdf	3	Herramientas/general	alta	
Java.pdf	4	Herramientas/general	alta	
Java.pdf	5	Herramientas/general	alta	
Java.pdf	6	Java	alta	
Java.pdf	7	Herramientas/general	alta	
Java.pdf	8	APX	alta	menciona JDBC Utility (APX) aunque la respuesta sea pom.xml
Java.pdf	9	Java	alta	
Java.pdf	10	Java	alta	
Java.pdf	11	Herramientas/general	alta	
Java.pdf	12	Java	alta	
Java.pdf	13	APX	alta	
Java.pdf	14	Java	alta	
Java.pdf	15	Java	alta	
Java.pdf	16	APX	alta	
Java.pdf	17	Java	alta	
Java.pdf	18	APX	alta	
Java.pdf	19	Java	alta	
Java.pdf	20	Java	alta	
Java.pdf	21	Java	alta	
Java.pdf	22	Java	alta	
Java.pdf	23	Java	alta	
Java.pdf	24	Herramientas/general	alta	
Java.pdf	25	Java	alta	
Java.pdf	26	Java	alta	
Java.pdf	27	Herramientas/general	alta	
Java.pdf	28	Java	alta	JDBC java.sql
Java.pdf	29	Java	alta	
Java.pdf	30	Java	alta	
Java.pdf	31	APX	alta	JDBC APX (utilidad APX), no java.sql
Java.pdf	32	Java	alta	
Java.pdf	33	Herramientas/general	alta	
Java.pdf	34	APX	alta	
Java.pdf	35	Java	alta	
Java.pdf	36	Herramientas/general	alta	
Java.pdf	37	Java	alta	herramienta jar del JDK
Java.pdf	38	Java	alta	
Java.pdf	39	Java	alta	
Java.pdf	40	Java	alta	
Java.pdf	41	Java	alta	
Java.pdf	42	APX	alta	
Java.pdf	43	Herramientas/general	alta	
Java.pdf	44	APX	alta	
Java.pdf	45	Herramientas/general	alta	
Java.pdf	46	APX	alta	
Java.pdf	47	Herramientas/general	alta	
Java.pdf	48	Herramientas/general	alta	
Java.pdf	49	Java	alta	
Java.pdf	50	Herramientas/general	alta	
Java.pdf	51	Java	alta	
Java.pdf	52	Java	alta	
Java.pdf	53	Java	alta	
Java.pdf	54	Java	alta	
Java.pdf	55	Java	alta	
Java.pdf	56	Java	alta	
Java.pdf	57	Java	alta	
Java.pdf	58	Java	alta	
Java.pdf	59	Java	alta	
Java.pdf	60	Java	alta	
Java.pdf	61	Java	alta	
Java.pdf	62	Java	alta	
Java.pdf	63	Java	alta	
Java.pdf	64	Java	alta	
Java.pdf	65	Java	alta	
Java.pdf	66	APX	alta	
Java.pdf	67	Java	alta	
Java.pdf	68	Herramientas/general	alta	
Java.pdf	69	Herramientas/general	baja	DUDOSO: paginación genérica en apps web (igual que V2#4)
Java.pdf	70	Java	alta	
Java.pdf	71	Java	alta	
Java.pdf	72	Java	alta	
Java.pdf	73	Java	alta	
Java.pdf	74	APX	alta	
Java.pdf	75	Java	media	no es pregunta de opción múltiple: «Resultado de la operacion 9 | 4» con su respuesta (13)
Java.pdf	76	Java	alta	
Java.pdf	77	Herramientas/general	alta	
Java.pdf	78	Java	alta	
Java.pdf	79	Java	alta	
Java.pdf	80	APX	alta	Spring Batch
Java.pdf	81	Java	alta	
Java.pdf	82	APX	alta	
Java.pdf	83	Java	alta	
Java.pdf	84	Java	alta	
Java.pdf	85	Herramientas/general	alta	
Java.pdf	86	Java	alta	
Java.pdf	87	Java	alta	
Java.pdf	88	Java	alta	
