examen	archivo	n	tema	ubicacion	enunciado_completo_extraido
Java.pdf	java/Java.pdf	1	Java	pág 1	¿Cuáles son los tipos de excepciones en Java? a. Throwable b. Object c. Checked d. Unchecked e. Todas las opciones son correctas. La respuesta correcta es: a.Throwable c. Checked d . Unchecked
Java.pdf	java/Java.pdf	2	Herramientas/general	pág 2	¿Cuáles de los siguientes comandos de Git se utilizan para gestionar ramas en un repositorio? Selecciona todas las que correspondan. a. git branch b. git merge c. git init d. git checkout e. git commit La respuesta correcta es: a. git branch b. git merge d. git checkout
Java.pdf	java/Java.pdf	3	Herramientas/general	pág 3	En el contexto del versionado semántico (Semantic Versioning), si un desarrollador cambia la versión de una biblioteca de 1.4.3 a 2.0.0 ¿Que implicaciones tiene este cambio según las reglas del versionado semántico? a. Señala un cambio en el nivel de parche, resolviendo errores sin agregar nuevas funcionalidades. b. Ninguna opción es correcta. c. Marca la adición de nuevas funcionalidades manteniendo la compatibilidad hacia atrás. d. Representa cambios importantes o incompatibles con versiones anteriores, que pueden afectar la compatibilidad. e. Indica una mejora menor que no afecta la compatibilidad hacia atrás. La respuesta correcta es: d. Representa cambios importantes o incompatibles con versiones anteriores, que pueden afectar la compatibilidad.
Java.pdf	java/Java.pdf	4	Herramientas/general	pág 4	¿Cuál de los siguientes componentes es parte de una solicitud HTTP? a. Headers, scripts, funciones. b. URL, cookies, archivos adjuntos. c. Encabezados de la respuesta, cuerpo de la respuesta, estado de la respuesta. d. URL, headers, cuerpo de la solicitud. La respuesta correcta es: d. URL, headers, cuerpo de la solicitud.
Java.pdf	java/Java.pdf	5	Herramientas/general	pág 5	¿Cuál de las siguientes opciones describe correctamente un servicio web (web service)? a. Una aplicación o componente que se comunica con otras aplicaciones a través de la red utilizando protocolos estándar. b. Un servicio que se utiliza exclusivamente para la transferencia de archivos grandes entre servidores. c. Una interfaz gráﬁca que permite a los usuarios interactuar con una aplicación web. d. Un servicio que se ejecuta localmente en el dispositivo del usuario sin necesidad de conectarse a una red. La respuesta correcta es: a. Una aplicación o componente que se comunica con otras aplicaciones a través de la red utilizando protocolos estándar.
Java.pdf	java/Java.pdf	6	Java	pág 6	¿Cuál de las siguientes afirmaciones sobre el ciclo for mejorado introducido en Java 5 es verdadera? a. El ciclo for mejorado solo se puede utilizar con matrices. b. El ciclo for mejorado se puede utilizar con cualquier tipo de colección y matriz. c. El ciclo for mejorado permite la modiﬁcación de los elementos de la colección durante la iteración. d. El ciclo for mejorado no requiere que la colección implemente la interfaz Iterable. La respuesta correcta es: b. El ciclo for mejorado se puede utilizar con cualquier tipo de colección y matriz.
Java.pdf	java/Java.pdf	7	Herramientas/general	pág 7	¿Cuál de las siguientes características es fundamental en una base de datos relacional? a. Almacenamiento de datos en formato JSON. b. Ninguna opción es correcta. c. Utilización de nodos y relaciones para representar datos. d. Organización de datos en tablas con ﬁlas y columnas. e. Almacenamiento de datos en un sistema de archivos distribuido. La respuesta correcta es: d. Organización de datos en tablas con filas y columnas.
Java.pdf	java/Java.pdf	8	APX	pág 8	¿Cuál es el archivo utilizado para agregar la dependencia del JDBC Utility a una aplicación? A. conﬁg.xml B. conﬁg.yaml C. pom.xml D. pom.yaml E. settings.xml La respuesta correcta es: C. pom.xml
Java.pdf	java/Java.pdf	9	Java	pág 9	public class Test { int[] array = {1, 2, 3, 4, 5}; public static void main(String[] args) { new Test().go(1); } void go(int x) { array[x % 5] = x++; go(x); } } a. A java.lang.ArrayIndexOutOfBoundsException is thrown. b. A java.lang.IllegalStateException is thrown. c. A java.lang.StackOverﬂowError is thrown. d. The program runs with no output. e. Compilation fails La respuesta correcta es: c. A java.lang.StackOverflowError is thrown.
Java.pdf	java/Java.pdf	10	Java	pág 11	class Parent { public void display() { System.out.println("Parent"); } } class Child extends Parent { public void display() { System.out.println("Child"); } } public class Test { public static void main(String[] args) { Parent obj = new Child(); ((Child) obj).display(); } } a. Child b. Parent c. Compilation error d. Runtime error La respuesta correcta es: a. Child
